"Username","control","Response.RT","Direction","encoding","source","Scored"
"AaliyahMorton","Presented",3656,"U","JOL","USM",1
"AaliyahMorton","Presented",2024,"F","JOL","USM",1
"AaliyahMorton","Presented",2823,"M","JOL","USM",0
"AaliyahMorton","Presented",2699,"U","JOL","USM",1
"AaliyahMorton","Presented",5513,"F","JOL","USM",1
"AaliyahMorton","Presented",2255,"U","JOL","USM",1
"AaliyahMorton","Presented",2737,"U","JOL","USM",1
"AaliyahMorton","Presented",3297,"M","JOL","USM",1
"AaliyahMorton","Presented",3507,"U","JOL","USM",1
"AaliyahMorton","Presented",2222,"F","JOL","USM",1
"AaliyahMorton","Presented",3024,"U","JOL","USM",1
"AaliyahMorton","Presented",2374,"F","JOL","USM",1
"AaliyahMorton","Presented",2749,"M","JOL","USM",0
"AaliyahMorton","Presented",3167,"F","JOL","USM",1
"AaliyahMorton","Presented",2335,"F","JOL","USM",1
"AaliyahMorton","Presented",3004,"M","JOL","USM",0
"AaliyahMorton","Presented",2998,"M","JOL","USM",1
"AaliyahMorton","Presented",3258,"F","JOL","USM",0
"AaliyahMorton","Presented",3221,"F","JOL","USM",1
"AaliyahMorton","Presented",2637,"F","JOL","USM",1
"AaliyahMorton","Presented",2261,"U","JOL","USM",1
"AaliyahMorton","Presented",3095,"U","JOL","USM",1
"AaliyahMorton","Presented",5423,"M","JOL","USM",1
"AaliyahMorton","Presented",2299,"M","JOL","USM",1
"AaliyahMorton","Presented",3471,"M","JOL","USM",1
"AaliyahMorton","Presented",2546,"U","JOL","USM",0
"AaliyahMorton","Presented",2567,"M","JOL","USM",1
"AaliyahMorton","Presented",3705,"U","JOL","USM",1
"AaliyahMorton","Presented",2144,"F","JOL","USM",1
"AaliyahMorton","Presented",3116,"M","JOL","USM",1
"AaliyahMorton","Presented",2106,"F","JOL","USM",1
"AaliyahMorton","Presented",2164,"F","JOL","USM",1
"AaliyahMorton","Presented",4460,"U","JOL","USM",0
"AaliyahMorton","Presented",3094,"U","JOL","USM",1
"AaliyahMorton","Presented",13182,"M","JOL","USM",0
"AaliyahMorton","Presented",3618,"M","JOL","USM",1
"AaliyahMorton","Presented",2191,"F","JOL","USM",1
"AaliyahMorton","Presented",2688,"M","JOL","USM",1
"AaliyahMorton","Presented",2364,"F","JOL","USM",1
"AaliyahMorton","Presented",3242,"M","JOL","USM",0
"AaliyahMorton","Presented",2130,"M","JOL","USM",1
